,mean_abs_shap
s11_roll_mean_5,4.5125785
s4_roll_mean_10,4.3208733
s2_roll_mean_10,3.9384196
s15_roll_mean_10,2.7448487
s9_roll_mean_5,2.0132778
s11_roll_mean_10,1.968719
s4_roll_mean_5,1.8764763
s14_roll_mean_20,1.7914243
s2_roll_mean_5,1.6766833
s8_roll_mean_20,1.5996603
s9_roll_mean_20,1.448719
s15_roll_mean_5,1.4262623
s3_roll_mean_10,1.4146752
s9_roll_mean_10,1.186598
s21_roll_mean_5,1.1499314
s13_roll_std_20,1.0319687
s7_roll_mean_20,1.0243839
s21_roll_mean_20,1.0229924
s21_roll_mean_10,1.012969
s8_roll_std_20,0.94141203
s7_roll_mean_10,0.81036574
s14_roll_std_20,0.8062394
s2_roll_mean_20,0.77568555
s13_roll_mean_20,0.73262876
s4_roll_std_20,0.6996846
